Date,JSE.ABSP.Close,JSE.BVT.Close,JSE.FSR.Close,JSE.NBKP.Close,JSE.RMH.Close,JSE.SBK.Close,JSE.SLM.Close
2006/08/28,95999,10475,1760,1200,2636,7810,1503
2006/08/29,95900,10644,1792,1170,2670,7840,1510
2006/08/30,95600,10733,1822,1165,2719,8050,1543
2006/08/31,95809,10802,1785,1170,2716,7783,1515
2006/09/01,95800,10860,1800,1165,2715,7795,1550
2006/09/04,95900,11120,1840,1160,2780,8099,1596
2006/09/05,95600,11440,1835,1160,2770,8055,1575
2006/09/06,94500,11436,1805,1160,2737,7875,1599
2006/09/07,94500,11208,1767,1200,2700,7701,1561
2006/09/08,94400,11200,1750,1168,2687,7645,1555
2006/09/11,94200,10992,1691,1155,2620,7292,1535
2006/09/12,94000,11187,1712,1129,2635,7600,1576
2006/09/13,94000,11188,1753,1118,2691,7700,1599
2006/09/14,93950,11140,1721,1120,2649,7600,1590
2006/09/15,93910,11340,1762,1115,2700,7700,1560
2006/09/18,93800,11386,1810,1110,2812,7829,1571
2006/09/19,93830,11337,1804,1111,2780,7996,1611
2006/09/20,93750,11188,1800,1110,2760,8095,1620
2006/09/21,93700,11139,1840,1110,2800,8051,1655
2006/09/22,93500,11089,1795,1119,2759,7690,1643
2006/09/26,93000,11277,1800,1110,2790,7700,1711
2006/09/27,92523,11257,1775,1120,2712,7539,1695
2006/09/28,92500,11267,1789,1130,2710,7770,1705
2006/09/29,93010,11188,1770,1125,2700,7781,1710
2006/10/02,93800,11040,1750,1160,2677,7740,1679
2006/10/03,94200,10891,1750,1168,2660,7780,1709
2006/10/04,94200,11280,1770,1168,2691,7871,1710
2006/10/05,94700,11546,1795,1150,2773,8000,1700
2006/10/06,94207,11585,1815,1140,2756,7979,1695
2006/10/09,94500,11713,1821,1160,2755,8015,1700
2006/10/10,94465,11634,1788,1155,2745,7999,1695
2006/10/11,94198,11495,1785,1150,2750,7990,1711
2006/10/12,94350,11505,1800,1119,2798,8100,1700
2006/10/13,94200,11535,1850,1120,2850,8200,1700
2006/10/16,94000,11680,1875,1110,2860,8600,1770
2006/10/17,93999,11704,1852,1131,2810,8350,1770
2006/10/18,93995,11564,1855,1150,2850,8390,1735
2006/10/19,93200,11500,1840,1145,2850,8401,1707
2006/10/20,93000,11634,1840,1150,2838,8352,1700
2006/10/23,92900,11900,1815,1160,2790,8380,1705
2006/10/24,92950,11881,1825,1150,2830,8409,1741
2006/10/25,92600,11881,1835,1145,2780,8400,1720
2006/10/26,92900,11784,1804,1142,2750,8260,1710
2006/10/27,93000,11797,1811,1140,2775,8340,1710
2006/10/30,92800,11830,1810,1130,2758,8315,1710
2006/10/31,92800,13423.95,1927,1125,2899,8650,1750
2006/11/01,93000,12177,1961,1125,2905,8685,1770
2006/11/02,93000,12109,1930,1136,2890,8600,1750
2006/11/03,92900,11969,1935,1135,2920,8550,1740
2006/11/06,93000,11782,1977,1140,2950,8600,1755
2006/11/07,92930,11782,1958,1130,2985,8650,1768
2006/11/08,93000,11900,1980,1135,3020,8700,1785
2006/11/09,92900,11783,1958,1145,3000,8600,1788
2006/11/10,93000,11585,1939,1130,2985,8571,1740
2006/11/13,92900,11564,1950,1125,3002,8580,1742
2006/11/14,93000,11832,1935,1130,2960,8575,1765
2006/11/15,93100,11980,1919,1130,2950,8450,1771
2006/11/16,93500,11881,1899,1131,2935,8499,1765
2006/11/17,93100,11832,1888,1111,2920,8480,1750
2006/11/20,93000,11941,1901,1111,2930,8515,1762
2006/11/21,92950,11990,1955,1115,2983,8790,1780
2006/11/22,92500,12376,2008,1111,3050,8875,1790
2006/11/23,92052,12673,2040,1100,3080,8975,1800
2006/11/24,92015,12624,2030,1095,3042,8960,1825
2006/11/27,92100,12575,2039,1095,3001,8975,1815
2006/11/28,91801,12480,1955,1091,3000,8820,1792
2006/11/29,92000,12698,1993,1090,3060,8760,1800
2006/11/30,91800,12634,1977,1095,3030,8800,1780
2006/12/01,91500,12977,1997,1090,3018,8850,1793
2006/12/04,91700,12832,2002,1090,3020,8740,1780
2006/12/05,91704,12525,1970,1095,3019,8800,1750
2006/12/06,91710,12325,1965,1100,2985,8750,1771
2006/12/07,91710,12159,1970,1105,2990,8695,1737
2006/12/08,91900,12480,1970,1110,2966,8650,1747
2006/12/11,93500,12475,1952,1125,2959,8699,1745
2006/12/12,93000,12330,1945,1130,2940,8600,1779
2006/12/13,92700,12500,1999,1150,3000,8700,1800
2006/12/14,92700,12600,2043,1120,3050,8750,1815
2006/12/15,92000,12559,2070,1115,3095,8810,1840
2006/12/18,92000,12822,2080,1126,3136,8950,1804
2006/12/19,91999,12970,2060,1140,3130,8900,1800
2006/12/20,92000,13250,2152,1135,3243,9119,1809
2006/12/21,91700,13441,2235,1130,3385,9456,1830
2006/12/22,91700,13247,2255,1120,3382,9500,1821
2006/12/27,92100,13361,2254,1130,3420,9550,1860
2006/12/28,93000,13366,2230,1130,3380,9450,1860
2006/12/29,92800,13250,2220,1140,3340,9450,1830
2007/01/02,92101,13386,2219,1140,3379,9480,1900
2007/01/03,92100,13267,2171,1130,3260,9265,1899
2007/01/04,92105,13317,2115,1130,3176,9050,1880
2007/01/05,92200,13218,2181,1120,3289,9150,1905
2007/01/08,92100,13193,2221,1120,3280,9245,1931
2007/01/09,92000,13287,2310,1110,3380,9776,1990
2007/01/10,92000,13090,2275,1120,3355,9700,1948
2007/01/11,92400,13317,2265,1120,3362,9700,1950
2007/01/12,92000,13422,2260,1120,3380,9700,1980
2007/01/15,92000,13662,2310,1110,3500,9951,1975
2007/01/16,91800,13861,2350,1110,3520,10050,1970
2007/01/17,91799,13861,2350,1110,3523,10050,1970
2007/01/18,92000,13861,2382,1100,3600,10300,1969
2007/01/19,92000,13564,2319,1105,3520,9952,1944
2007/01/22,92000,13490,2365,1090,3590,10110,1960
2007/01/23,91700,13560,2365,1085,3520,10020,1943
2007/01/24,91500,13560,2343,1095,3520,10000,1950
2007/01/25,91700,13510,2291,1105,3400,9910,1961
2007/01/26,91800,13322,2325,1095,3420,9941,1925
2007/01/29,92000,13250,2282,1110,3342,9851,1880
2007/01/30,92800,13366,2310,1100,3400,9920,1880
2007/01/31,92410,13370,2300,1110,3350,9900,1865
2007/02/01,92600,13564,2360,1115,3440,10250,1925
2007/02/02,90805,13936,2337,1115,3450,10090,1893
2007/02/05,90850,13959,2284,1115,3390,10025,1870
2007/02/06,90501,13960,2358,1115,3427,10250,1895
2007/02/07,90000,14000,2330,1102,3350,10115,1895
2007/02/08,90000,13663,2242,1109,3300,9935,1866
2007/02/09,90000,13470,2261,1110,3344,9800,1881
2007/02/12,89000,13684,2282,1100,3330,9660,1876
2007/02/13,89301,13960,2285,1100,3330,9795,1900
2007/02/14,89301,14010,2250,1100,3291,9685,1920
2007/02/15,90500,14320,2314,1105,3400,10045,1940
2007/02/16,92100,14160,2380,1120,3500,10300,1939
2007/02/19,90950,14310,2360,1120,3464,10400,1934
2007/02/20,89550,13713,2350,1100,3450,10450,1986
2007/02/21,88500,13860,2360,1085,3400,10249,1977
2007/02/22,87449,13960,2455,1051,3541,10400,2000
2007/02/23,87620,14238,2445,1070,3550,10425,1977
2007/02/26,88600,14380,2467,1075,3562,10500,1980
2007/02/27,88900,14100,2382,1070,3355,10201,1922
2007/02/28,89500,13960,2395,1065,3427,10050,1895
2007/03/01,90000,13860,2316,1075,3300,9800,1870
2007/03/02,90500,13615,2300,1080,3330,10000,1870
2007/03/05,90450,13317,2186,1100,3175,9600,1820
2007/03/06,90502,13416,2210,1090,3220,9750,1830
2007/03/07,91500,13470,2230,1100,3235,9800,1835
2007/03/08,91025,13860,2299,1080,3396,10150,1909
2007/03/09,90900,13743,2355,1080,3475,10350,1930
2007/03/12,86505,13713,2350,1070,3490,10240,1929
2007/03/13,86510,13744,2291,1070,3370,10200,1895
2007/03/14,86700,13366,2250,1090,3250,9820,1865
2007/03/15,86500,13500,2245,1090,3280,9895,1920
2007/03/16,86500,13465,2178,1025,3200,9750,1920
2007/03/19,86750,13540,2214,1015,3216,9795,1955
2007/03/20,86400,13713,2280,1015,3300,10200,1970
2007/03/22,86000,14000,2349,1020,3440,10222,1988
2007/03/23,85500,14158,2371,1010,3484,10500,1991
2007/03/26,84775,13802,2285,1020,3345,10450,2000
2007/03/27,84775,13752,2330,1015,3360,10500,2004
2007/03/28,85498,13664,2285,1014,3315,10400,2001
2007/03/29,85400,13619,2377,1013,3470,10530,2000
2007/03/30,84999,13662,2460,1016,3599,10680,2000
2007/04/02,85000,13710,2430,1015,3533,10800,2041
2007/04/03,84850,13761,2455,1010,3720,10945,2055
2007/04/04,84850,13639,2460,1002,3580,10950,2080
2007/04/05,84800,13450,2437,1000,3585,10780,2070
2007/04/10,84100,13673,2440,1000,3620,10810,2110
2007/04/11,84100,13564,2375,999,3550,10680,2100
2007/04/12,84000,13664,2430,995,3581,11040,2105
2007/04/13,84000,14129,2520,995,3700,11030,2117
2007/04/16,84200,14168,2468,1005,3698,11199,2150
2007/04/17,84250,14168,2575,1025,3730,11560,2175
2007/04/18,84400,14110,2505,1025,3768,11200,2199
2007/04/19,85000,14257,2520,1020,3721,11150,2250
2007/04/20,85200,14431,2559,1020,3810,11260,2175
2007/04/23,86500,14530,2531,1020,3725,11250,2250
2007/04/24,87500,14550,2535,1022,3757,11095,2201
2007/04/25,87600,14455,2545,1030,3770,11100,2288
2007/04/26,88001,14356,2520,1049,3700,11100,2405
2007/04/30,88400,14630,2520,1049,3758,11080,2380
2007/05/02,88500,14555,2510,1070,3705,11120,2281
2007/05/03,88200,14183,2514,1095,3670,11095,2256
2007/05/04,88600,14183,2487,1101,3610,11000,2351
